0,16844
1,16524
2,16139
3,15403
4,15035
5,14619
6,14555
7,14651
8,15131
9,15483
10,16059
11,16444
12,17004
13,17276
14,17596
15,17804
16,18252
17,18556
18,19132
19,19324
20,19548
21,19212
22,18812
23,17900
24,17148
25,16187
26,15643
27,15179
28,15291
29,15451
30,15963
31,16283
32,16780
33,16844
34,16988
35,16780
36,16716
37,16428
38,16492
39,16476
40,16700
41,16668
42,17004
43,16780
44,16796
45,16492
46,16315
47,16011
48,16027
49,16059
50,16331
51,16363
52,16572
53,16379
54,16363
55,15979
56,15771
57,15163
58,14843
59,14379
60,14203
61,13883
62,13787
63,13675
64,13931
65,13979
66,14331
67,14507
68,14907
69,15099
70,15531
71,15707
72,16139
73,16331
74,16604
75,16716
76,16908
77,16812
78,16924
79,16636
80,16604
81,16524
82,16508
83,16251
84,16299
85,15995
86,15835
87,15323
88,14875
89,14171
90,13819
91,13307
92,13259
93,13179
94,13435
95,13723
96,14203
97,14635
98,15243
99,15803
100,16556
101,17052
102,17820
103,18348
104,19196
105,19756
106,20509
107,20733
108,20957
109,20685
110,20428
111,19692
112,19164
113,18364
114,17916
115,17452
116,17164
117,17004
118,16716
119,16347
120,16203
121,15675
122,15467
123,15035
124,15003
125,14971
126,15259
127,15515
128,15947
129,16155
130,16476
131,16379
132,16412
133,16123
134,16043
135,15787
136,15851
137,15723
138,15915
139,15803
140,15851
141,15675
142,15627
143,15371
144,15419
145,15243
146,15339
147,15275
148,15403
149,15387
150,15547
151,15435
152,15467
153,15499
154,15691
155,15899
156,16219
157,16444
158,16956
159,17164
160,17644
161,17772
162,18220
163,18188
164,18284
165,17996
166,17868
167,17644
168,17436
169,17148
170,17132
171,16876
172,16844
173,16556
174,16412
175,15931
176,15595
177,14907
178,14443
179,13755
180,13403
181,12971
182,12923
183,12779
184,13115
185,13291
186,13963
187,14443
188,15323
189,16043
190,17020
191,17756
192,18620
193,19180
194,19836
195,20108
196,20525
197,20509
198,20733
199,20509
200,20541
201,20156
202,20124
203,19772
204,19692
205,19372
206,19324
207,19180
208,19196
209,19068
210,19228
211,19148
212,19196
213,18988
214,19052
215,18764
216,18764
217,18588
218,18636
219,18476
220,18524
221,18332
222,18316
223,17884
224,17836
225,17196
226,16876
227,16299
228,15915
229,15323
230,15051
231,14715
232,14683
233,14699
234,15035
235,15211
236,15483
237,15547
238,15723
239,15547
240,15451
241,15163
242,15099
243,14907
244,14939
245,14875
246,15163
247,15163
248,15307
249,15163
250,15131
251,14875
252,14731
253,14379
254,14347
255,14107
256,14171
257,14155
258,14523
259,14779
260,15435
261,15867
262,16588
263,17132
264,17788
265,18140
266,18684
267,18876
268,19132
269,19180
270,19484
271,19500
272,19852
273,19916
274,20412
275,20573
276,21085
277,21245
278,21821
279,21901
280,22269
281,22301
282,22493
283,22285
284,22333
285,21965
286,21725
287,21053
288,20653
289,19804
290,19388
291,18748
292,18428
293,17900
294,17708
295,17308
296,17164
297,16684
298,16315
299,15755
300,15371
301,14955
302,14651
303,14587
304,14811
305,15147
306,15739
307,16187
308,16860
309,17244
310,17788
311,17916
312,18236
313,18188
314,18380
315,18268
316,18316
317,17964
318,17964
319,17580
320,17516
321,17180
322,17212
323,16988
324,17004
325,16908
326,16972
327,16860
328,17068
329,17100
330,17468
331,17900
332,18716
333,19308
334,20284
335,20861
336,21613
337,21965
338,22397
339,22461
340,22637
341,22557
342,22861
343,22845
344,23037
345,23197
346,23421
347,23229
348,23005
349,22381
350,21773
351,20829
352,20140
353,19260
354,18924
355,18348
356,18332
357,18156
358,18268
359,18156
360,18252
361,18012
362,18012
363,17836
364,17788
365,17868
366,18220
367,18428
368,18908
369,19148
370,19628
371,19724
372,20124
373,20140
374,20252
375,20140
376,20188
377,19884
378,19676
379,19164
380,18892
381,18220
382,17868
383,17148
384,16844
385,16379
386,16315
387,16235
388,16428
389,16428
390,16716
391,16684
392,16812
393,16652
394,16652
395,16363
396,16363
397,16171
398,16235
399,16171
400,16283
401,16171
402,16027
403,15819
404,15707
405,15179
406,14971
407,14555
408,14459
409,14123
410,14155
411,13947
412,14011
413,13883
414,13915
415,13755
416,13851
417,13899
418,13947
419,13947
420,14123
421,14299
422,14571
423,14571
424,14939
425,14939
426,15259
427,15483
428,15819
429,15947
430,16251
431,16203
432,16396
433,16107
434,16171
435,15755
436,15659
437,15291
438,15099
439,14539
440,14331
441,13771
442,13371
443,12971
444,12619
445,12523
446,12635
447,12827
448,13227
449,13547
450,13963
451,14107
452,14507
453,14619
454,15019
455,15243
456,15803
457,16267
458,16940
459,17356
460,17868
461,17932
462,18188
463,18060
464,18092
465,17884
466,17996
467,17868
468,17980
469,17916
