0,17100
,
1,17100
,
2,17132
,
3,17116
,
4,17164
,
5,17116
,
6,17180
,
7,17068
,
8,17132
,
9,17068
,
10,17100
,
11,17036
,
12,17116
,
13,17052
,
14,17100
,
15,17052
,
16,17132
,
17,17036
,
18,17100
,
19,17020
,
20,17164
,
21,17100
,
22,17180
,
23,17116
,
24,17148
,
25,17084
,
26,17164
,
27,17068
,
28,17132
,
29,17084
,
30,17132
,
31,17052
,
32,17148
,
33,17100
,
34,17180
,
35,17116
,
36,17164
,
37,17132
,
38,17196
,
39,17164
,
40,17228
,
41,17180
,
42,17228
,
43,17164
,
44,17212
,
45,17164
,
46,17116
,
47,17180
,
48,17244
,
49,17180
,
50,17244
,
51,17212
,
52,17356
,
53,17260
,
54,17292
,
55,17260
,
56,17260
,
57,17228
,
58,17244
,
59,17180
,
60,17212
,
61,17180
,
62,17212
,
63,17132
,
64,17180
,
65,17100
,
66,17164
,
67,17116
,
68,17180
,
69,17116
,
70,17164
,
71,17100
,
72,17132
,
73,17068
,
74,17084
,
75,17084
,
76,17116
,
77,17020
,
78,17116
,
79,17052
,
80,17116
,
81,17036
,
82,17084
,
83,17052
,
84,17180
,
85,17116
,
86,17084
,
87,17116
,
88,17116
,
89,17084
,
90,17132
,
91,17068
,
92,17132
,
93,17084
,
94,17148
,
95,17100
,
96,17164
,
97,17084
,
98,17196
,
99,17132
,
100,17164
,
101,17196
,
102,17212
,
103,17148
,
104,17244
,
105,17164
,
106,17228
,
107,17164
,
108,17276
,
109,17196
,
110,17276
,
111,17196
,
112,17260
,
113,17164
,
114,17308
,
115,17244
,
116,17324
,
117,17420
,
118,17308
,
119,17228
,
120,17260
,
121,17180
,
122,17212
,
123,17132
,
124,17212
,
125,17148
,
126,17180
,
127,17116
,
128,17196
,
129,17100
,
130,17164
,
131,17084
,
132,17164
,
133,17084
,
134,17132
,
135,17052
,
136,17132
,
137,17068
,
138,17100
,
139,17084
,
140,17100
,
141,17052
,
142,17132
,
143,17036
,
144,17132
,
145,17052
,
146,17036
,
147,17100
,
148,17212
,
149,17100
,
150,17148
,
151,17084
,
152,17164
,
153,17068
,
154,17180
,
155,17052
,
156,17132
,
157,17068
,
158,17164
,
159,17084
,
160,17180
,
161,17116
,
162,17180
,
163,17132
,
164,17196
,
165,17148
,
166,17196
,
167,17132
,
168,17100
,
169,17132
,
170,17228
,
171,17180
,
172,17228
,
173,17164
,
174,17228
,
175,17148
,
176,17260
,
177,17212
,
178,17308
,
179,17324
,
180,17308
,
181,17196
,
182,17276
,
183,17196
,
184,17244
,
185,17148
,
186,17212
,
187,17132
,
188,17212
,
189,17132
,
190,17196
,
191,17116
,
192,17164
,
193,17116
,
194,17164
,
195,17084
,
196,17180
,
197,17116
,
198,17164
,
199,17084
,
200,17100
,
201,17052
,
202,17132
,
203,17068
,
204,17164
,
205,17084
,
206,17132
,
207,17036
,
208,17100
,
209,17084
,
210,17212
,
211,17084
,
212,17164
,
213,17116
,
214,17148
,
215,17068
,
216,17132
,
217,17084
,
218,17116
,
219,17068
,
220,17100
,
221,17084
,
222,17148
,
223,17100
,
224,17148
,
225,17100
,
226,17180
,
227,17084
,
228,17180
,
229,17132
,
230,17212
,
231,17148
,
232,17228
,
233,17164
,
234,17260
,
235,17132
,
236,17228
,
237,17164
,
238,17260
,
239,17164
,
240,17308
,
241,17260
,
242,17340
,
243,17244
,
244,17308
,
245,17308
,
246,17244
,
247,17196
,
248,17228
,
249,17164
,
250,17212
,
251,17164
,
252,17212
,
253,17116
,
254,17180
,
255,17132
,
256,17164
,
257,17132
,
258,17180
,
259,17132
,
260,17148
,
261,17100
,
262,17164
,
263,17100
,
264,17148
,
265,17084
,
266,17100
,
267,17100
,
268,17148
,
269,17068
,
270,17052
,
271,17036
,
272,17116
,
273,17132
,
274,17212
,
275,17148
,
276,17196
,
277,17116
,
278,17164
,
279,17084
,
280,17132
,
281,17100
,
282,17132
,
283,17068
,
284,17148
,
285,17100
,
286,17164
,
287,17100
,
288,17180
,
289,17116
,
290,17180
,
291,17148
,
292,17196
,
293,17116
,
294,17212
,
295,17148
,
296,17244
,
297,17148
,
298,17260
,
299,17148
,
300,17276
,
301,17244
,
302,17260
,
303,17244
,
304,17292
,
305,17244
,
306,17308
,
307,17228
,
308,17276
,
309,17196
,
310,17244
,
311,17148
,
312,17212
,
313,17132
,
314,17212
,
315,17164
,
316,17180
,
317,17116
,
318,17164
,
319,17100
,
320,17180
,
321,17116
,
322,17180
,
323,17084
,
324,17164
,
325,17068
,
326,17132
,
327,17084
,
328,17164
,
329,17084
,
330,17116
,
331,17084
,
332,17116
,
333,17084
,
334,17132
,
335,17084
,
336,17116
,
337,17164
,
338,17212
,
339,17148
,
340,17180
,
341,17068
,
342,17164
,
343,17084
,
344,17196
,
345,17100
,
346,17180
,
347,17100
,
348,17164
,
349,17116
,
350,17196
,
351,17180
,
352,17196
,
353,17148
,
354,17196
,
355,17100
,
356,17180
,
357,17164
,
358,17196
,
359,17132
,
360,17212
,
361,17228
,
362,17228
,
363,17196
,
364,17212
,
365,17180
,
366,17276
,
367,17244
,
368,17292
,
369,17244
,
370,17244
,
371,17228
,
372,17164
,
373,17164
,
374,17228
,
375,17148
,
376,17212
,
377,17132
,
378,17196
,
379,17132
,
380,17180
,
381,17132
,
382,17212
,
383,17116
,
384,17180
,
385,17132
,
386,17196
,
387,17132
,
388,17196
,
389,17084
,
390,17164
,
391,17084
,
392,17020
,
393,17084
,
394,17132
,
395,17068
,
396,17116
,
397,17084
,
398,17212
,
399,17100
,
400,17196
,
401,17260
,
402,17276
,
403,17116
,
404,17164
,
405,17100
,
406,17148
,
407,17068
,
408,17132
,
409,17068
,
410,17132
,
411,17084
,
412,17164
,
413,17116
,
414,17164
,
415,17116
,
416,17164
,
417,17132
,
418,17196
,
419,17132
,
420,17196
,
421,17164
,
422,17196
,
423,17196
,
424,17212
,
425,17180
,
426,17244
,
427,17196
,
428,17244
,
429,17212
,
430,17276
,
431,17244
,
432,17180
,
433,17228
,
434,17276
,
435,17212
,
436,17196
,
437,17148
,
438,17212
,
439,17132
,
