34480,24,186,0,53,57,32
42651,16,207,0,56,72,32
91866,12,304,1,59,151,32
61613,14,249,1,56,103,32
34480,24,186,0,53,57,32
9.0011e+07,6,9525,30,47,1.8637e+05,64
6.5e+07,5,8094,1283,19,93301,96
5.1315e+07,7,7192,152,22,99004,64
4.5654e+07,4,6783,72,21,73484,32
4.3316e+07,4,6607,41,33,75675,32
1.3918e+07,6,3745,3,21,23119,32
1.5671e+07,6,3974,10,21,26683,96
1.4185e+07,6,3781,5,31,23803,96
2.7498e+07,7,5264,348,30,63243,128
1.3484e+07,6,3687,22,31,26933,96
9.2103e+06,6,3047,2,29,15453,32
3.1881e+07,5,5668,76,39,73683,64
3.4448e+07,4,5892,41,27,58029,32
4.0814e+07,4,6414,22,49,93481,64
4.0814e+07,4,6414,22,49,93481,64
2.3354e+07,7,4852,60,54,56379,128
3.9348e+07,5,6297,115,50,84536,96
3.4083e+07,4,5861,24,22,49122,32
3.1417e+07,3,5627,107,48,47968,32
1.9977e+07,5,4487,179,28,31549,32
1.0294e+06,17,1019,1,24,1654,96
1.5674e+06,7,1257,11,48,3003,96
7.2544e+06,6,2704,13,54,18344,96
4.428e+06,6,2113,1,54,9950,64
5.6449e+05,17,754,13,18,675,288
3.703e+07,5,6109,451,43,66830,64
2.4313e+07,6,4950,3,16,31432,32
2.3444e+07,8,4861,12,19,34591,32
2.4313e+07,6,4950,3,16,31432,32
2.3444e+07,8,4861,12,19,34591,32
5.0436e+07,8,7130,26,47,77488,32
4.1027e+07,4,6430,34,46,83429,64
2.9391e+07,5,5443,560,45,63751,64
2.8793e+07,3,5387,277,58,72740,64
2.3123e+07,4,4828,2,41,43965,64
