37139,52,16,193,75
32557,52,32,181,111
97384,14,32,313,438
47144,52,32,218,130
37139,52,16,193,75
6.2362e+07,9,80,7912,1.074e+05
5.7715e+07,10,16,7612,1.029e+05
4.5758e+07,16,96,6778,1.0074e+05
4.5335e+07,8,48,6746,1.2058e+05
5.7576e+07,12,16,7603,1.0855e+05
1.3673e+07,12,64,3705,30466
9.6373e+06,14,64,3110,17225
9.592e+06,13,112,3103,20793
2.9736e+07,13,80,5464,58095
1.457e+07,10,64,3825,27293
2.4127e+07,9,16,4922,47074
2.1703e+07,11,80,4668,58815
1.9442e+07,12,48,4418,46730
2.7432e+07,11,80,5248,53914
2.7432e+07,11,80,5248,53914
2.2616e+07,13,128,4765,58458
4.3905e+07,11,96,6639,97052
3.6679e+07,8,32,6068,74356
2.3819e+07,13,16,4890,38624
1.6528e+07,9,48,4073,49239
7.0108e+05,32,96,839,1120
7.9503e+06,13,96,2825,16330
1.0907e+07,11,96,3309,24145
5.8949e+06,12,48,2433,12598
2.1258e+06,19,64,1461,4313
3.1802e+07,11,80,5650,68200
2.0843e+07,16,16,4574,32141
2.3347e+07,11,48,4841,68658
2.0843e+07,16,16,4574,32141
2.3347e+07,11,48,4841,68658
4.4322e+07,10,32,6670,1.5487e+05
3.241e+07,5,32,5704,69054
3.1758e+07,13,48,5646,86116
3.416e+07,10,16,5856,58028
2.3267e+07,6,48,4833,73767
