0.000231,0.843,0.111,0.0152,0.000126,0
0.000373,0.454,0.333,0.0193,0.000246,0
0.000354,0.528,0.222,0.0188,0.000344,0
0.000393,0.824,0.111,0.0198,0.0002,0
0.000462,0.481,0.111,0.0215,0.00025,0
0.000494,0.694,0.333,0.0222,0.000277,0
0.000821,0.37,0.222,0.0287,0.00056,0
0.00106,0.194,0.222,0.0326,0.00075,0
0.000514,0.593,0.222,0.0227,0.000446,0
0.000247,0.907,0.111,0.0157,0.000133,0
0.000316,0.741,0.333,0.0178,0.000209,0
0.00034,0.657,0.333,0.0184,0.000201,0
0.00041,0.481,0.222,0.0203,0.000374,0
0.000443,0.593,0.111,0.0211,0.000233,0
0.000208,1,0.333,0.0144,0.000167,0
0.000266,0.769,0.222,0.0163,0.000264,0
0.000351,0.731,0.222,0.0187,0.000201,0
0.000354,0.537,0.222,0.0188,0.000248,0
0.00059,0.306,0.333,0.0243,0.000382,0
0.000996,0.398,0.111,0.0316,0.000626,0
0.00121,0.13,0.222,0.0348,0.00145,0
0.000604,0.352,0.222,0.0246,0.000392,0
0.000587,0.389,0.111,0.0242,0.000286,0
0.000928,0.676,0.222,0.0305,0.000573,0
0.000292,0.574,0.111,0.0171,0.000151,0
0.000327,0.731,0.333,0.0181,0.000178,0
0.000558,0.472,0.333,0.0236,0.000437,0
0.000385,0.667,0.222,0.0196,0.000386,0
0.00059,0.491,0.222,0.0243,0.000433,0
0.000309,0.657,0.111,0.0176,0.000155,0
0.000269,0.657,0.333,0.0164,0.000173,0
0.000547,0.5,0.222,0.0234,0.000338,0
0.000231,0.843,0.111,0.0152,0.000126,0
0.000373,0.454,0.333,0.0193,0.000246,0
0.000354,0.528,0.222,0.0188,0.000344,0
0.000393,0.824,0.111,0.0198,0.0002,0
0.000462,0.481,0.111,0.0215,0.00025,0
0.000494,0.694,0.333,0.0222,0.000277,0
0.000821,0.37,0.222,0.0287,0.00056,0
0.00106,0.194,0.222,0.0326,0.00075,0
0.0868,0.13,0.222,0.295,0.0455,0.1
0.142,0.0648,0.111,0.377,0.0691,0.1
0.0887,0.111,0.222,0.298,0.0559,0.1
0.464,0.12,0.111,0.681,0.229,0.1
0.169,0.13,0.444,0.411,0.101,0.1
0.149,0.167,0.444,0.386,0.0809,0.1
0.0802,0.148,0.333,0.283,0.0438,0.1
0.125,0.111,0.222,0.354,0.0609,0.1
0.143,0.167,0.333,0.379,0.0828,0.1
0.0446,0.12,0.667,0.211,0.0234,0.1
0.129,0.111,0.111,0.359,0.0552,0.1
0.167,0.0833,0.222,0.409,0.0915,0.1
0.122,0.13,0.444,0.349,0.0583,0.1
0.0568,0.12,0.333,0.238,0.0262,0.1
0.16,0.111,0.111,0.4,0.0871,0.1
0.102,0.13,0.222,0.32,0.0563,0.1
0.0411,0.176,0.333,0.203,0.0216,0.1
0.0839,0.0926,0.111,0.29,0.0356,0.1
0.314,0.0833,0.111,0.56,0.148,0.1
0.0772,0.0833,0.333,0.278,0.0388,0.1
0.12,0.12,0.778,0.347,0.0699,0.1
0.0799,0.111,0.444,0.283,0.0423,0.1
0.24,0.139,0.222,0.49,0.134,0.1
0.0738,0.13,0.889,0.272,0.0386,0.1
0.296,0.139,0.111,0.544,0.134,0.1
0.153,0.111,0.444,0.391,0.0931,0.1
0.0868,0.185,0.556,0.295,0.0517,0.1
0.144,0.12,0.778,0.379,0.0733,0.1
0.373,0.102,0.556,0.611,0.193,0.1
