39788,27,200,0,56,68,32
22144,36,149,0,24,33,32
1.0284e+05,2,322,1,54,166,32
18731,46,137,0,35,35,64
39788,27,200,0,56,68,32
3.4433e+07,5,5891,993,37,64238,96
5.0184e+07,5,7112,583,21,69265,32
3.6121e+07,7,6034,55,37,69566,96
2.9023e+07,4,5408,2,27,43414,32
4.1507e+07,6,6468,129,18,68305,64
1.2951e+07,10,3613,16,34,26651,64
3.5477e+06,8,1891,4,26,5620,96
4.8679e+06,7,2215,10,26,10026,96
3.0021e+07,8,5501,69,32,51407,96
1.3716e+07,5,3718,7,27,21714,32
2.6507e+07,3,5169,188,48,38207,32
1.1414e+07,6,3392,26,28,24458,64
4.2642e+06,8,2073,45,17,5901,32
1.3933e+07,7,3747,75,32,29369,96
1.3933e+07,7,3747,75,32,29369,96
2.1832e+07,6,4691,5,21,36839,64
4.5985e+07,8,6808,4,23,91181,64
2.9984e+07,6,5497,5,25,41933,32
1.6221e+07,10,4043,3,44,30747,64
1.2713e+07,3,3580,11,49,18934,32
3.7276e+05,14,613,1,21,499,96
1.4297e+07,6,3796,68,52,36096,96
1.3801e+07,5,3730,38,41,30311,64
6.5349e+06,6,2566,17,34,11720,64
3.685e+06,6,1927,7,43,6867,64
2.6573e+07,6,5175,94,43,51400,96
1.0367e+07,6,3232,7,25,14555,32
2.3241e+07,3,4840,287,23,43626,64
1.0367e+07,6,3232,7,25,14555,32
2.3241e+07,3,4840,287,23,43626,64
3.7365e+07,4,6137,4,24,51749,32
2.0846e+07,1,4584,206,23,26451,32
3.394e+07,8,5849,7,41,61428,96
2.1636e+07,9,4670,100,58,60452,96
2.0709e+07,2,4569,55,40,31433,32
